date,social_source,message,impressions,reach,saved,likes,comments,shares,plays,profile_visits
2024-09-04T13:52:16+0000,insta_post,"Embracing the cringe, one video at a time. 😆 
We love being able to connect with you 💕 🎨",,11345,12,324,25,1,12307,
2024-09-03T14:43:38+0000,insta_post,"Hey, art lovers! 💃🕺 Here’s a little dancey dance to brighten your feed. Help us reach art enthusiasts around the world! 🌍 

Comment with your country’s flag and let’s spread the love. Remember, we ship internationally! Explore more at jeanpierreweill.com ✨",,18076,148,1730,76,45,19866,
2024-08-30T21:44:20+0000,insta_post,"🌙✨ ‘Promenade’ captures a moment that feels like forever.

Give the gift of art to those you love the most—let it speak the words we sometimes can’t. 🎨

💕 Shipping is free! Visit our website: jeanpierreweill.com",,7269,45,366,10,14,7627,
2024-08-27T17:25:38+0000,insta_post,"Add a personal touch to your art! 🎨✨ In our Mini Collection, customize your piece for just +$10, while the Petite Collection includes FREE handwritten personalization (up to 10 characters). Make it uniquely yours with Jean Pierre Weill. 🖋️❤️ 

Any questions? Reach out to our DMs and visit jeanpierreweill.com. We ship art worldwide! 🌍",,7808,47,380,17,12,8130,
2024-08-26T21:18:12+0000,insta_post,"There’s nothing quite like it. Each glance reveals something new, with hidden messages waiting to be discovered. ✨ 

 Visit jeanpierreweill.com to explore more. We ship internationally! 🌍",,6522,38,390,17,8,7192,
2024-08-23T19:37:58+0000,insta_post,"Jumping on the trend with a touch of art-very demure, very mindful, very Jean Pierre Weill. 🎨🪄✨

#demure #verydemure #verymindful",,24144,156,1276,30,60,25608,
2024-08-22T16:05:25+0000,insta_post,Some moments from the studio. 🎨✨ Visit jeanpierreweill.com to explore more captivating art!,,42617,142,976,13,29,45120,
2024-08-20T19:52:39+0000,insta_post,"Feyre came to visit yesterday. She loved the “Wonder” piece. 

Shop our paintings at jeanpiereweill.com

#acotar
#velaris
#rhysand 
#sarahjmaas
#feyre
#feyrearcheron 
#acomaf 
#nightcourt",,17685,173,1594,70,74,19961,
2024-08-15T20:16:04+0000,insta_post,Get yourself art! 🎨✨ Let this beautiful dove carry the promise of peace and hope into your space. 🕊️💙,,7679,6,99,6,2,9272,
2024-08-13T19:41:40+0000,insta_post,"🎨📱 Oops I did it again! 

Add more pieces to your gallery wall with shipping worldwide! 

Shop for your accidental treasure today. 🖼️",,12646,27,273,9,6,15812,
2024-08-12T17:13:34+0000,insta_post,"All the love in the comments help us reach more art lovers! 💖 

We appreciate every like, share, comment and save 🫶🏽

You can shop at jeanpierreweill.com. We ship worldwide. 🌎",,42818,386,4809,177,163,54836,
2024-08-08T18:58:50+0000,insta_post,"🎨 Discover Israel’s history through art.

Every piece tells a story, and now you can bring these stories home. 📖 

Explore our collection at jeanpierreweill.com and enjoy free worldwide shipping! 🌍✨",,6028,38,386,6,23,7593,
2024-08-06T17:56:22+0000,insta_post,"Hey artists, what fuels your soul? 🪄✨",,16513,46,497,18,18,21422,
2024-08-05T15:10:46+0000,insta_post,"This season’s favorites 🎨✨ 

From vibrant colors to intricate details, each piece tells a unique story. 🌍 We ship internationally, so you can bring a piece of magic home. 🪄 🎨",,11662,67,479,14,12,15001,
2024-08-02T22:17:53+0000,insta_post,Watch Davida explain how we secure each piece. 🎨✈️ Shipping art worldwide for free! 🌍  Visit jeanpierreweill.com to shop.,,13351,153,660,24,50,16794,
2024-07-31T19:13:48+0000,insta_post,"Step into a memory of Paris with Café des Fleurs.

Watch as the painting brings to life a charming coffee shop scene, where spring flowers bloom and a young girl’s joy fills the air. 🍷🌸✨ 

Visit jeanpierreweill.com to shop and more.",,23164,216,1311,18,68,29256,
2024-07-30T16:35:31+0000,insta_post,"Why do we love being 3D glass painting artists? 🎨✨ 

From the depth and unique perspectives to the play of light, each piece offers something special. But we want to hear from you!

What’s your favorite thing about our art? Let us know in the comments! 👇❤️",,9424,26,257,16,4,12069,
2024-07-25T20:19:33+0000,insta_post,"Visit jeanpierreweill.com to find your next masterpiece. And yes, we ship internationally! 🌍✈️",,11017,18,332,8,3,14882,
2024-07-24T13:54:15+0000,insta_post,"What makes you dance? 🎨🕺To us, it’s the art!",,10144,31,639,23,4,13245,
2024-07-23T14:07:23+0000,insta_post,"When you choose a Jean Pierre Weill painting, you get more than just art. Enjoy these special touches that make each Petite and Classique piece truly unique:

🎁 A beautiful custom-designed gift box - the perfect presentation for a heartwarming gift.
📝 A personal note from you to your loved one, hand-written and enclosed with the painting upon request.
🖌️ A hand-written personalization inside the painting of up to 10 characters - your initials, name, or a meaningful date, FREE.

Add a touch of love and personality to your art collection! 💖✨

Visit our website: jeanpierreweill.com",,32783,501,1906,35,171,39840,
2024-07-18T20:56:38+0000,insta_post,When you want to hold onto your summer vacations forever... 🌞 What’s your favorite summer memory? Share below! ☀️💭,,13065,165,1303,33,35,14190,
2024-07-16T19:50:13+0000,insta_post,"Step into the vibrant world of ‘Soul Train’ by Jean Pierre Weill 🚂💫 

Discover the beauty of diversity and connection in humanity through vivid colors and intertwining stories. 🎨✨ Every detail tells a tale – from a loving elderly couple to whimsical encounters. 🌟 

What was your first impression? 🗽🎶",,45796,245,2648,70,149,47406,
2024-07-15T19:05:14+0000,insta_post,"🎨✨ Witness art come alive! Watch as we bring Jerusalem to life with ‘Ahava: Using color, light, space, and shadow,

According to legend, this site connects Heaven and Earth. 🌌

✨ Can you guess how long it took us to create this masterpiece? Comment below! ⏳🖌️",,31285,347,2029,69,204,34559,
2024-07-11T20:34:03+0000,insta_post,"✨ This one is for the book lovers 📚✨ Tag a friend who would adore these pieces!

#bookstagram #bookgirlies #romantasybooks
#booklover #booktok #bookish #bookcommunity #readingtime",,29828,360,2610,67,141,32043,
2024-07-10T21:47:20+0000,insta_post,Every detail counts. ✨🎨 What’s your favorite thing about our paintings?,,9223,23,270,13,6,10588,
2024-07-08T18:18:50+0000,insta_post,"I’m Davida, studio manager 🎨 Where are you following from? 👀",,18151,23,438,53,0,20330,
2024-07-05T17:37:12+0000,insta_post,"Fellow artists, what do you look like when you’re in the zone?! 😏 🎨",,21544,52,901,11,19,23008,
2024-07-03T17:54:53+0000,insta_post,Where fairy tales meet timeless artistry. 🎨✨ Rediscover the magic of friendship in unexpected places with Jean Pierre Weill’s ‘Red Riding Hood’.,,16962,139,845,23,36,18732,
2024-07-01T20:03:26+0000,insta_post,"🎨✨ Step into the sacred narrative of ‘The Tenth Man’ by Jean Pierre Weill! Nine nine gather, waiting for the tenth to complete the quorum.

Through artful use of reflective glass, this 3D masterpiece invites you to step inside the synagogue, becoming the tenth and experiencing the magic of collective prayer.",,65084,664,6145,229,330,77231,
2024-06-28T14:31:57+0000,insta_post,"🎨 Sometimes, all you need is a little ‘me-time’ with a brush and a canvas. What do you do when you need a me-time? Share in the comments!",,8354,29,343,5,9,10543,
2024-06-25T19:54:14+0000,insta_post,"🎨🐾 Meet our artistic assistant! He’s looking for new friends. Can you say hello? 🐶💕 

Check out his favorite painting, ‘Birthday Celebration’—a joyful masterpiece that captures the essence of celebration! 🎉✨",,13543,43,617,22,17,16808,
2024-06-24T16:14:58+0000,insta_post,Why paint? To clear your mind and fill your soul. 🎨✨,,15041,69,633,22,22,19143,
2024-06-21T15:17:57+0000,insta_post,Meet Safira 👋🏼☺️,,16866,34,616,10,9,21045,
2024-06-20T16:11:12+0000,insta_post,"✨ Unveiling magic through art ✨ Jean Pierre Weill’s “Feathers” invites you to a world where reading is dreaming with open eyes. Let your imagination take flight and explore a whimsical tree filled with winged friends. Dive into the story and let the magic unfold. 🕊📚✨ 

Visit our website: jeanpierreweill.com – we ship worldwide! 🌎",,27701,191,1170,31,67,34430,
2024-06-17T20:02:14+0000,insta_post,Studio magic in a blink! 🌟🎨,,13378,78,667,16,26,16300,
2024-06-14T15:43:33+0000,insta_post,"Capture the essence of life through art! 🎨✨ 

Dancing on the Edge' by Jean Pierre Weill is an ode to life in all its dimensions. From vibrant colors to the melody of dance and music, this piece invites us to celebrate every moment, even the challenging ones. L'Chaim! 🍷✨

Discover more at jeanpierreweill.com",,11271,43,468,9,15,14033,
2024-06-12T20:13:02+0000,insta_post,Every brushstroke tells a story. 🎨,,10770,15,396,8,4,13332,
2024-06-07T18:32:57+0000,insta_post,"Did you know you can visit someone’s profile by swiping left? 

Discover more 3D paintings on my profile or visit jeanpierreweill.com! 🎨✨",,14909,133,745,28,32,18639,
2024-06-06T14:09:02+0000,insta_post,"Your words mean the world to us! 🌟 Swipe to see some of the incredible testimonials from our amazing community. We appreciate each and every message. 

Share your thoughts and comments below—we’d love to hear from you! 🎨💬",6418,5302,9,136,0,1,,50
2024-06-04T18:15:21+0000,insta_post,Where do you go? 🍂✨🌿🎨 🪄,,38828,544,3318,123,323,45331,
2024-05-31T17:56:19+0000,insta_post,"Because sometimes, you need a double dose of Jean Pierre Weill magic! 🖼️😂",,14916,38,589,5,8,17742,
2024-05-28T18:30:35+0000,insta_post,Step into the world where creativity comes to life! ✨🎨 A glimpse into the corners where magic happens at Jean Pierre Weill’s art studio.,,9336,23,258,9,4,11242,
2024-05-27T19:21:37+0000,insta_post,"Late nights at the studio, where the magic of art comes alive ✨🖌️ Are you a night owl or a morning person?",,33820,345,2091,40,119,39033,
2024-05-24T19:16:26+0000,insta_post,Friday mood ✨,,38149,253,2110,29,145,43408,
2024-05-23T16:31:52+0000,insta_post,Creating masterpieces with our favorite little assistant 🐾🎨,,9164,7,255,5,7,11371,
2024-05-21T17:54:12+0000,insta_post,"Our mini collection paintings are not just art—they’re stories. 📖💖 

With free expedited shipping worldwide (3-6 days), these 4.25 x 4.25 inch framed gems make the perfect gift, arriving in a custom-designed box. 

Choose your frame color and include a personal note for your loved one. 🖼️📦🌍",,24836,174,1029,46,44,30376,
2024-05-17T16:01:45+0000,insta_post,Take a peek into our studio! Watch as Safira reveals two stunning pieces. See anything similar? Let us know in the comments! 💬,,260246,2439,16880,357,2602,298245,
2024-05-15T19:03:49+0000,insta_post,"Finding my peace, one brushstroke at a time 🎨✨ After a long day, painting is my sanctuary. What’s your go-to for inner calm? Share below!",,24636,98,853,14,35,28721,
2024-05-14T14:14:44+0000,insta_post,"Here’s to the ones who paint our world with love, patience, and vibrant hues. Happy Mother’s Day to all the incredible moms out there! 🎨💖",,8704,1,155,3,0,10667,
2024-05-10T17:05:59+0000,insta_post,"Our 3D paintings are made with layers of glass so that every  glance reveals a new perspective. 🎨

Experience art like never before, exclusively at Jean-Pierre Weill Studios. 🖌️",,73689,533,4383,113,338,81833,
2024-05-07T18:31:28+0000,insta_post,"By popular demand! 🏇💨 Nose to Nose, the Race Is On! 🎨✨ Feel the pulse of the track, the thunder of hooves, and the determination in every stroke. Pushing the limit, it’s a whirlwind of warm bodies and splatters of color.",,14424,71,733,29,26,16841,
2024-05-06T20:39:13+0000,insta_post,"Ever wondered how we clean our layers of glass paintings? Here’s a sneak peek at the process! ✨

Drop a comment below and let us know what else you’d like to see about our process! 👀",,59377,205,1598,13,104,67964,
2024-05-03T20:39:34+0000,insta_post,Share your thoughts with us! Rate this masterpiece using emojis! 🎨😊👍,,58938,388,5147,527,228,69494,
2024-05-02T18:29:58+0000,insta_post,"From students to art enthusiasts, all are welcome at the Jean Pierre Weill Paintings studio! 🎨✨ 

Whether you’re a group or solo explorer, just drop us a DM to schedule your visit. We can’t wait to share our passion of art with you!",15633,12825,12,267,7,1,,263
2024-05-01T16:24:18+0000,insta_post,Step into a world where color speaks volumes! Dive deeper into our world at jeanpierreweill.com – shipping worldwide! 💕✈️,,19415,60,488,18,21,21401,
2024-04-29T15:28:31+0000,insta_post,"For generations, worshippers have come to these weathered stones to seek closeness to God, to pour out their hopes, dreams and sorrows. 🍃

Here there is a place for the joy of celebrating a birth, of crossing the threshold of bar or bat mitzvah into maturity, of building a loving relationship and establishing a Jewish family, of traditions passed lovingly from grandparents to grandchildren. ✨

This is a place where all the tears of our humanity - rooted in both joy and sorrow - are held in the embrace of God.",,66667,579,4787,162,334,75334,
2024-04-26T21:13:53+0000,insta_post,"From Exodus to Renewal: Passover Reflections 🌊 As we recall the splitting of the Sea, let’s remember the courage it takes to embrace new beginnings. 

Passover isn’t just a historical event; it’s a celebration of birth and rebirth. This Passover, let’s honor the journey of our ancestors and the courage it takes to step into the unknown.",8358,7867,2,103,1,0,,39
2024-04-25T18:05:09+0000,insta_post,Every post brings us closer to our dream 🌟 Let’s spark some artful interactions! Drop a 🎨 in the comments if you’re ready for more creativity!,,3743679,13071,260330,7488,4814,4107087,
2024-04-22T21:13:55+0000,insta_post,"We appreciate every like, share and comment ❤️🎨",,26553,108,1734,45,40,28514,
2024-04-21T17:49:05+0000,insta_post,"Delve into the essence of Jerusalem’s promise with ‘Milk and Honey’ 🌟 

This piece intertwines the spirit of Ir Shalem, the City of Peace, with the lush abundance of the Holy Land’s seven species. Each brushstroke reveals the potential and reality of Israel’s bounty.",,70783,603,3502,53,272,76236,
2024-04-17T19:18:20+0000,insta_post,"Let your imagination take flight with ‘Balloon Over Paris’ 🎈✨ where rooftops become runways and hot air balloons paint the sky. 

 Explore more at jeanpierreweill.com and let your dreams soar.",12320,10465,62,504,10,7,,98
2024-04-16T19:41:38+0000,insta_post,"Welcome to the creative side of Insta, it’s nice to meet you here 🫶",,28874,108,1090,23,26,31441,
2024-04-15T16:24:48+0000,insta_post,"💖 Amidst the darkness of current times, we cherish the light of love and support from our incredible clients and followers. Thank you for brightening our days. 🙏",,23925,42,755,37,13,26039,
2024-04-12T17:27:26+0000,insta_post,"Embark on a journey through time and space with our mesmerizing painting of The Kotel. 🎨✨ 

As ‘Hear O Israel’ echoes in the heavens, let it remind us of our shared history and boundless unity as a people. 🕍💫",,24242,81,865,19,28,26061,
2024-04-11T15:37:54+0000,insta_post,Where art meets heart 💖,,205924,950,10770,225,467,223590,
2024-04-08T22:13:07+0000,insta_post,"💐 Stay tuned for our special sale announcement coming soon! 

It’s time to celebrate the amazing moms in our lives with Jean Pierre Weill’s stunning artworks.",,20295,13,235,4,4,21980,
2024-04-05T18:10:06+0000,insta_post,"Friday feels, come art with us. 🤎",,56755,476,2962,71,266,60247,
2024-04-04T14:27:26+0000,insta_post,"Come with us on the journey of creating ‘Nature is a Temple’ - where Psalms intertwine with the rustle of leaves, and childhood magic meets the richness of autumn hues. 🍂✨ 

Join as I delve into the sensory symphony of nature and art, inviting you to rise above the mundane into a spiritually uplifting experience. How much time do you think it takes? ⏳",,454323,4457,20316,198,2576,451450,
2024-04-02T19:55:34+0000,insta_post,"🎨 Take a moment to pause and immerse yourself in the enchanting world of ‘Dancing Cranes’ by Jean Pierre Weill Paintings. 🌿

🌙 Let the quiet stillness of morning wash over you as five cranes gracefully lift their heads into gentle rays of light. 🕊️

💫 With a crescent of blue moon overhead and the strong yet supple bamboo standing tall, this painting invites you to embrace both movement and stillness. 💖✨

Visit our website jeanpierreweill.com",11724,9740,28,372,4,1,,82
2024-04-01T19:41:01+0000,insta_post,Size doesn't matter when it comes to art! 🎨 Which one steals your heart? Drop your favorite in the comments below!,,34389,287,1725,42,124,38499,
2024-03-29T14:35:28+0000,insta_post,We just put up our new studio sign at Jean Pierre Weill Studios in Israel. Come visit! 🎨✨,,23651,17,425,14,9,25568,
2024-03-28T19:19:27+0000,insta_post,What should we name our latest masterpiece? 🖼️ Drop your suggestions below! 👩‍🎨✨🤎,,21199,160,647,10,48,23412,
2024-03-27T17:49:36+0000,insta_post,"Did you know... 👀 

Our father, Jean-Pierre, ignited our beloved studio’s journey in 1992, fueled by a profound blend of artistry and family devotion. From the inception of our mesmerizing 3D paintings to our relocation to Israel about a decade ago, every stroke of light and shadow has been a testament to our shared passion.

As his daughters, Davida and Safira, we’ve infused our vibrant palette with fresh perspectives and boundless creativity, enriching our artistic legacy.

Our bond as a family studio isn’t just the foundation of our art—it’s the heartbeat that sustains it. ✨

Share this with your father, as a heartfelt reminder of the love and inspiration he brings to your life. 💖",12745,10701,14,384,4,4,,100
2024-03-26T20:14:59+0000,insta_post,"Let’s create magic together! 🎨 
Comment anything on this reel and we will showcase our favorite art posts from fellow artists on our stories. 

Join us in celebrating creativity and building connections in the art world! 🌟",,20244,19,470,139,15,22570,
2024-03-21T20:55:15+0000,insta_post,"For Adar >>> When you purchase artwork from our family studio this month, we will gift a 3D painting on glass to a family who has been evacuated from their home for free. 💝 

How does it work?
1. You purchase the artwork you love.
2. At checkout, write us a note that says: TRANSFORM. 
3. If you wish, add some words for the family who will receive our gift.
4. We will send you the work you purchased. We will also send a 3D painting on glass to a family who has been evacuated from their home. 

Let’s channel this months energy and transform lives together. ⚡️💗

Get started on www.jeanpierreweill.com",8366,7052,9,100,2,1,,60
2024-03-20T18:40:52+0000,insta_post,"Behind the scenes at the art studio: 🎨🔍
We ensure every Gallery Edition order is crafted with care and quality. From meticulous packaging to extra safety measures, your masterpiece is in good hands! ✨🖼️",,31535,84,396,10,25,34047,
2024-03-19T18:16:16+0000,insta_post,"Visiting Jerusalem? Come experience the magic of art at our studio! ✨ 

Whether you’re an art enthusiast or just curious, we welcome you to immerse yourself in the world of color and paintings. 

Drop us a DM to arrange your visit! 🎨",28982,25439,183,1545,30,34,,399
2024-03-18T19:44:46+0000,insta_post,"Monday motivation for all our fellow artists: Don’t let anything hold you back from creating. Embrace the inspiration, ignore the doubts, and just make things happen! 💪🖌️",,18135,69,479,5,25,19845,
2024-03-15T14:54:12+0000,insta_post,"Life’s too short for anything less than passion. 🎨 

Happy Friday ☀️💕",,41374,249,2051,25,121,44734,
2024-03-14T16:44:51+0000,insta_post,"Last chance! 🚨 Don’t miss out on owning the piece ‘Where’s Pablo’ by Jean Pierre Weill. We’re down to our last 3 pieces and once they’re gone, they’re gone for good!

But fret not, we’re excited to introduce ‘Cafe Picasso’, the stunning successor to ‘Where’s Pablo’.

To celebrate the end of this edition, we’re offering an exclusive 50% off on ‘Where’s Pablo’ for our beloved SM followers! 🌟 This is your opportunity to bring home a masterpiece at an incredible price.

Hurry, grab your piece of art history before it’s too late! DM us to claim yours today. 🖼️✨",20629,17600,121,1089,26,18,,283
2024-03-13T16:00:18+0000,insta_post,"Your wish is our command! ✨ 

Here’s the mesmerizing final reveal of ‘New York Jazz’. 🎨🌆 

Watch as the city comes alive with vibrant colors and the soulful sounds of jazz fill the air. From the swaying dancer to the curious cat and the saxophonist serenading the streets, every element tells a story. Step into the scene and feel the heartbeat of the city. 🎷",,30173,214,1396,30,138,32836,
2024-03-11T19:07:08+0000,insta_post,"Let the timeless allure of Café des Fleurs whisk you away to the enchanting streets of Paris, where every corner holds a story. 🌸✨",,38601,150,1392,29,58,40841,
2024-03-07T21:57:54+0000,insta_post,"Step into the sacred space of community with ‘10th Man’ 🎨✨ Feel the power of unity as you become the missing piece in this captivating 3D painting by Jean Pierre Weill. Let your presence bring forth the divine, and immerse yourself in the beauty of collective prayer.",23295,21621,121,1001,12,24,,262
2024-03-06T20:48:56+0000,insta_post,Watch the magic unfold as we assemble this  3D glass painting in a speedy manner! Want to see the final results? Drop a comment below! 🌟,,2003182,19420,64165,399,14246,2054627,
2024-03-05T18:28:39+0000,insta_post,🎉 Grateful for hitting 200k followers on Instagram! 🙌 Thank you for being part of our art studio family! 💖,,26468,57,761,21,20,29525,
2024-03-04T19:33:00+0000,insta_post,"Presenting ‘Dove with Olive Branch’: 

A symbol of peace and hope takes flight in vibrant colors and musical whispers. 🎨🕊️",,33288,145,1138,24,44,35263,
2024-02-28T16:48:11+0000,insta_post,"I have always loved music. In my studio, Miles Davis or John Coltrane are often playing in the background. The element of jazz that delights me most is the spontaneity, the way the musicians communicate with each other through their instruments, making space for one another, building an invisible and intricate web of connection.

I believe that when we choose a piece of artwork, it is because something beacons our eyes and hearts and, without thinking too much about it, we fall in love.

The beauty of improvisation, to me, is perfectly embodied by a street musician playing the music that comes to him and the passerby who is moved to spontaneous dance. This interaction captures the magic of responding to the present moment and the opportunities it offers with our hearts.

When my children were small and visiting my studio, we would sometimes crank up the volume, clear the tables to the side of the room, and dance. I continue this tradition with my grandchildren and it never fails to delight us all. My hope is that this painting brings that fun free energy into your home, and invites you to dance 🙂

- Jean Pierre Weill",13584,11749,56,489,10,10,,124
2024-02-27T19:36:27+0000,insta_post,Where are you tuning in from? 🚩 Drop your flag in the comments and let’s connect through art! ✨,,67529,982,6866,1012,502,69823,
2024-02-26T20:25:43+0000,insta_post,"Step into the rhythm of life with ‘Dancing on the Edge’! 🎻✨ 

Fiddler integrates color, dance and music within its multiple dimensions. 🎨 🎶 

The word “לחיים” (To Life!) floats among musical notes to the Heavens. It’s an invitation to appreciate all of life (even the challenges) as an opportunity to dance. 🌟 

Shipping’s on us, so visit jeanpierreweill.com to bring this piece into your home! 💃🕺",,96512,946,7144,118,526,105156,
2024-02-21T19:17:19+0000,insta_post,"🎨✨ Exclusive Instagram offer alert! ✨🎨 

We’re eager to offer you a rare opportunity to own a piece from our collection that’s no longer in production. 😮 

‘Tambourine Man’ - a captivating masterpiece by Jean Pierre Weill is a stunning painting . It measures 122 x 94 cm and is truly one-of-a-kind.  Normally priced at $22,000, we’re offering it exclusively on Instagram for just $8,000! 😱 

Don’t miss out on this incredible deal - it’s our last piece available! DM us now to claim this piece for your collection. 📩",16185,15561,69,649,6,14,,121
2024-02-20T20:17:27+0000,insta_post,Welcome to our studio / museum! Thoughts? 🥹,,37367,140,1615,65,71,39378,
