"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Impressions,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks",REELS_PLAYS:COUNT,"Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad impressions","Negative feedback from users: Hide all"
921040143358358,100063571427253,"Jean-Pierre Weill - 3D painting on glass","🎨✨ Exclusive Instagram offer alert! ✨🎨 

We’re eager to offer you a rare opportunity to own a piece from our collection that’s no longer in production. 😮 

‘Tambourine Man’ - a captivating masterpiece by Jean Pierre Weill is a stunning painting . It measures 122 x 94 cm and is truly one-of-a-kind.  Normally priced at $22,000, we’re offering it exclusively on Instagram for just $8,000! 😱 

Don’t miss out on this incredible deal - it’s our last piece available! DM us now to claim this piece for your collection. 📩",,0,"02/21/2024 11:02",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid02yAWqV1AY38Nupo2gwcchpfRSf6QdkH5RrZuA6peuhAx4uGp3SkUWS2Gtrc8czKznl,0,0,Photos,,,,,Lifetime,2673,2673,82,76,3,3,67,38,29,,,,,,,
916957327099973,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Let the sounds of Venice serenade your soul 🎶💖 

Dive into the romance of ‘Venice in Love’ – where every brushstroke whispers tales of passion and tranquility. 

Explore the enchantment at jeanpierreweill.com and let your heart drift along the canals. 🌊✨","Let the sounds of Venice serenade your soul 🎶💖 

Dive into the romance of ‘Venice in Love’ – where every brushstroke whispers tales of passion and tranquility. 

Explore the enchantment at jeanpierreweill.com and let your heart drift along the canals. 🌊✨",22,"02/15/2024 13:02",N/A,https://www.facebook.com/reel/1119885409008987/,0,0,Reels,,,,,Lifetime,6422,6257,367,319,8,40,0,,,,7640,72117.286,13.043,0,0,
916954683766904,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Share the love to support local artists like us. ✨🙌🏼

Every like, share, and comment fuels our passion to keep creating magic. Thank you for being part of our journey! 💖","Share the love to support local artists like us. ✨🙌🏼

Every like, share, and comment fuels our passion to keep creating magic. Thank you for being part of our journey! 💖",12,"02/15/2024 13:02",N/A,https://www.facebook.com/reel/378502021551872/,0,0,Reels,,,,,Lifetime,5330,5330,276,254,7,15,0,,,,6514,45545.697,10.396,0,0,
916117487183957,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Look closely at our art and you’ll see love everywhere 💕  Happy Valentine’s day from our heart to yours!",,0,"02/14/2024 09:02",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid02RUqWTwszCfifqsEehvNSpy6pvXhzHghyt6vu7Snm1ChxQ8uNKwVtNAvbCrGTiCWRl,0,0,Photos,,,,,Lifetime,1912,1887,50,48,2,0,32,16,16,,,,,,,
911642944298078,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Come with me and you’ll be in a world of pure imagination! 🎶🎨🖌️","Come with me and you’ll be in a world of pure imagination! 🎶🎨🖌️",13,"02/08/2024 08:02",N/A,https://www.facebook.com/reel/400356649214454/,0,0,Reels,,,,,Lifetime,5213,5213,127,114,4,9,0,,,,5259,27132.325,6.656,0,0,
911642150964824,100063571427253,"Jean-Pierre Weill - 3D painting on glass","We’re so excited to share this new piece with you of the Cave of Machpelah, now available in a petite size! 

Explore it at https://www.jeanpierreweill.com/products/cave-of-machpelah?_pos=1&_sid=b01b7b925&_ss=r ✨","We’re so excited to share this new piece with you of the Cave of Machpelah, now available in a petite size! 

Explore it at https://www.jeanpierreweill.com/products/cave-of-machpelah?_pos=1&_sid=b01b7b925&_ss=r ✨",28,"02/08/2024 08:02",N/A,https://www.facebook.com/reel/412513354528539/,0,0,Reels,,,,,Lifetime,4892,4645,102,95,1,6,0,,,,4548,38772.1,10.358,0,0,
905729008222805,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Did you catch yesterday’s Q&A session on our stories? 🤔💬 Check out our Q&A highlight to see them all.

If you have more questions, run to our stories and ask them before the option is gone!",,0,"01/31/2024 09:01",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid0rtC5MMueGPPDUG2VBTbWxVBUDzbp5hkDE8QyH5BZtThSaxLMvRcrSP3io9zHJRDfl,0,0,Photos,,,,,Lifetime,1328,1322,31,25,6,0,39,21,18,,,,,,,
900225552106484,100063571427253,"Jean-Pierre Weill - 3D painting on glass","This Valentine’s Day, gift your loved one the timeless beauty of art. Discover unique pieces at jeanpierreweill.com with worldwide shipping! 💕🎨✨",,0,"01/24/2024 10:01",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid0imPQ5fFE4i4Q4SVhR5V4H1An9H1Lba7BPEEbhC3AY16qFLbeghvZoWNYXQeCtrdMl,0,0,Photos,,,,,Lifetime,1302,1238,26,25,0,1,70,50,16,4,,,,,,
894826482646391,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Dive into the enchanting details of Cafe d’artistes, where magic resides in every sip of coffee, every shared dance step, and every whispered idea.

Inspired by Van Gogh’s starlit nights and the love-filled dance of Renoir’s Bougival. ✨☕💃",,0,"01/17/2024 10:01",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid02Hv2kMdMY1kSPURQtCpdX2UzAF2HCRtaVLtk95RwQC2zGmyqc922SjRduf5cwx816l,0,0,Photos,,,,,Lifetime,1712,1679,65,59,3,3,109,80,29,,,,,,,1
889904966471876,100063571427253,"Jean-Pierre Weill - 3D painting on glass","🎉 Giveaway! 🎨

To show our gratitude for your love and support, we’re thrilled to host a Classique Collection giveaway starting January 10th and concluding January 21st.

How to Enter:
1. Follow @JeanPierreWeillpaintings
2. Like this post.
3. Tag a friend in the comments!

BONUS ENTRY: 
Share this post in your stories and tag us!

🌍 We Ship Worldwide,* so this include you! This giveaway is an expression of our gratitude to this incredible community. We appreciate every one of you! 

⏰ Giveaway Deadline: January 21st, 7 PM EST. The winner will be announced on January 23rd. Join our family studio!

🍀 Good luck to everyone! 🍀

*Note: This giveaway is not associated with Instagram.
**Exclusions apply to countries not serviced by UPS.",,0,"01/10/2024 11:01",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid0327eWLaqNnpU4QDGgAymqToNQJfdKJLQ7RhfeJhLEhbTYi7DuosRXwZYMqjQsvz2Yl,0,0,Photos,,,,,Lifetime,911,817,61,25,33,3,34,8,26,,,,,,,
889106086551764,100063571427253,"Jean-Pierre Weill - 3D painting on glass","You asked us for slower and more details. Here you go! Step into the sacred circle of the 10th man. 🖼️🎨

Here’s the twist – spot your reflection and become the one to complete the quorum!✨

More details: https://www.jeanpierreweill.com/products/10th-man?_pos=1&_sid=f9d85dff7&_ss=r","You asked us for slower and more details. Here you go! Step into the sacred circle of the 10th man. 🖼️🎨

Here’s the twist – spot your reflection and become the one to complete the quorum!✨

More details: https://www.jeanpierreweill.com/products/10th-man?_pos=1&_sid=f9d85dff7&_ss=r",37,"01/09/2024 08:01",N/A,https://www.facebook.com/reel/1118140335850749/,0,0,Reels,,,,,Lifetime,5221,5142,147,124,11,12,0,,,,4707,49272.571,12.067,0,0,
889105009885205,100063571427253,"Jean-Pierre Weill - 3D painting on glass","If you’re here it’s because you love creating or you appreciate watching creativity! 🎨 ❤️

Drop an emoji or introduce yourself in the comments, let’s form a tribe of artistic souls. 🤝","If you’re here it’s because you love creating or you appreciate watching creativity! 🎨 ❤️

Drop an emoji or introduce yourself in the comments, let’s form a tribe of artistic souls. 🤝",5,"01/09/2024 08:01",N/A,https://www.facebook.com/reel/1051857672779237/,0,0,Reels,,,,,Lifetime,5469,5398,86,75,10,1,0,,,,7001,19779.962,4.793,0,0,
