"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Impressions,Reach,Shares,Likes,Comments,Saves,Plays,Follows
18296814634002991,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Unboxing a JPW painting gift ✨. 
Here’s what it’s like :). 

#jeanpierreweill #gift #glasspainting #homedecor #3dpainting #selfcare",12,"05/16/2022 09:05",https://www.instagram.com/reel/Cdn_0M2DcNb/,"IG reel",,Lifetime,1930,1845,5,77,1,18,2564,3
17954829790806582,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","This is Jean-Pierre ✨.

Jean-Pierre founded his studio in 1992, after discovering that he could create 3D paintings by arranging different parts of an image 🎨. 

His technique allows each painting to be enriched by elements of light and shadow, creating a delightful sense of movement 💫.

Jean-Pierre is still creating art and supporting his growing family 🏡.

#3dart #jeanpierrewiell #artstudio #founder",0,"05/11/2022 15:05",https://www.instagram.com/p/CdbyGvMLjWi/,"IG image",,Lifetime,296,276,1,44,0,5,,
17919861959294925,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","You don’t need perfect handwriting to make beautiful art 😇. 

#3dart #painting #artist #art #artstudio",12,"05/10/2022 11:05",https://www.instagram.com/reel/CdY2POaj2lQ/,"IG reel",,Lifetime,2027,1941,0,95,5,11,4766,3
18031622497336327,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Always wanted to see the behind the scenes on how we put together our 3D paintings 🎨?

We are so happy to host you at our studio in Tokea and show you the ropes 🖌.

Check out our story for more details!",0,"05/09/2022 09:05",https://www.instagram.com/p/CdWCVq-rmbp/,"IG image",,Lifetime,6739,4754,0,355,0,9,,1
17928084071259885,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","The “Tambourine Man”, is an original, one of-a-kind, 3 layered hand painting art piece. It’s inspired by Bob Dylan and is a celebration of the artist’s muse. Now $9,000 instead of $22,000🎨✨.

#artgallery #usartgallery #artstudio #artwork #glasspainting #jeanpierreweillart #discountcode #tambourineman #bobdylan",11,"05/05/2022 07:05",https://www.instagram.com/reel/CdLe_UtDHpR/,"IG reel",,Lifetime,1879,1796,5,84,0,17,2585,1
17979624742480432,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","This vivid Petite Collection piece is our newest 3D Painting on glass 🎨.

The “Birthday Celebration” is a painting where all the forest animals come together to celebrate you just for being born 🌳.

All the different species of animals are playing many different instruments to make music together celebrating this special day 🎶.

What a good opportunity to gift those you love than with this piece of art on their birthday 🎁. 

#birthday #birthdaygift #3dart",0,"05/04/2022 11:05",https://www.instagram.com/p/CdJWy0lLQY9/,"IG image",,Lifetime,261,246,0,35,0,6,,
18135052051268900,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Were you expecting this? ✨🎨

#artgallery #artstudio #glasspainting #jeanpierreweillart #audreyhepburn",14,"05/02/2022 08:05",https://www.instagram.com/reel/CdD2kDnDpVD/,"IG reel",,Lifetime,1787,1700,2,307,4,50,7643,3
17898887621601267,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","It's our biggest Mother's Day Sale ever!
Take 25% OFF on all paintings for an unforgettable gift for mom that she would appreciate so much ⭐️

Shop on our website https://www.jeanpierreweill.com/
Sale ends May 8th",0,"04/27/2022 10:04",https://www.instagram.com/p/Cc3RB-BLP8W/,"IG image",,Lifetime,3346,2745,0,20,0,0,,
17922862310493088,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Fill your mother’s heart with art! Don’t miss this opportunity and use the 25% off discount. Sale ends on May 8th. Visit www.jeanpierreweill.com or use the link in bio to shop. 🤩🎨

#momday #mothersday #discount #jeanpierreweill #artstudio #artwork",15,"04/26/2022 09:04",https://www.instagram.com/reel/Cc0j_b0jyMS/,"IG reel",,Lifetime,1649,1578,0,42,0,1,2457,
17958064642688042,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Can you spot the personal touch on this art piece? Ted & Joy had their names added with a heart! If you have a special date or name to add to your gift you can ask us to personalize it and we’ll incorporate it in a subtle yet visible way. Personalizations are free for the Petite Collection pieces. You can add it on for the mini collection as well. ✨🎨❤️

#jeanpierreweillart #artwork #artstudio #glasspainting",15,"04/25/2022 10:04",https://www.instagram.com/reel/CcyBHDHjRSN/,"IG reel",,Lifetime,1896,1791,3,91,1,30,3847,4
18027263167362930,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","During Passover, when the Israelites were ready to give up, it was the mothers who believed in the future, it was the mothers who didn’t give up hope for the people. This is how mothers are, they fight till the end for their children and their children’s children. 

With Mother’s Day approaching and it being Passover this week we want to give a moment of tribute to all mamas out there. To the mothers who never give up, to the mothers who are always there for you, to the mothers who believe even when things seem bleak. 

What better time to show appreciation for her? To show appreciation to someone who is infinitely full of love and strength. 

The perfect opportunity to shower your mom with love and gifts is here! Take 25% off site-wide. Whether she’s a cat lover, traveler, a fan of the Beatles, or just a lover of art, there’s a piece of art waiting for her and you can even personalize it with her name on it. 

Sale ends May 8th. No code needed. Visit www.jeanpierreweill.com or use link in bio to shop.

#momday #artstudio #artwork #jeanpierreweillart #glasspainting",14,"04/20/2022 08:04",https://www.instagram.com/reel/CclCEx-jY-V/,"IG reel",,Lifetime,1605,1556,1,56,0,1,2414,
17960525902635545,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Hey everyone! As spring is coming, our art studio in Tekoa (15 min drive from Jerusalem) is open to visitors!

✨ 🎨We are a family studio that makes unique 3D paintings on glass, and if you haven't seen it yet, it's definitely worth the trip! 

✨ We love having people come just to enjoy and experience the art but we also have special offers for studio visitors ;) 

☕️🌵🌞You'll be greeted with coffee, and there are beautiful hikes in the area if you're interested in making a full day out of it! 

Contact Davida:
054-264-9499

Open Hours:
Sun-Thurs 9:00-16:00
Friday visits can be arranged upon request

Directions:
Put in Waze Jean-Pierre Weill Studios",0,"04/18/2022 08:04",https://www.instagram.com/p/Ccf3jxxLg-1/,"IG image",,Lifetime,191,179,0,30,0,0,,
17860958612688462,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Self care is so important. Share this with someone who needs this artwork reminder on their desk to look at daily! 😍

#artwork #selfcare #artreels #artistsoninstagram",6,"04/18/2022 07:04",https://www.instagram.com/reel/CcfxgRzDBBJ/,"IG reel",,Lifetime,1577,1505,5,87,0,18,4600,
17861391749711287,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Today is #worldartday and so we wanted to share a piece with you that is close and dear to us. 

— CAFE D'ARTISTES —

It is a nighttime inspired by Vincent Van Gogh’s Cafe Terrace at Night. The couple from Renoir’s Dance At Bougival fall deeper in love as they dance. Cezanne’s players concentrate on the cards in their hands. And upstairs, a corner for Klimt’s lovers. Dark blues and greens create a backdrop that emphasizes the stillness of night as the tune of The Piano Lesson by Henri Matisse enlivens the world within Cafe d’Artistes.

We imagine that since the creation of the Café, the coffee shop has been a meeting place for the exchange and flowering of new ideas. It is a place where lovers meet and friendships grow. An invitation to a friend to have some coffee is a way of inviting them to a deeper connection. 

What better setting in which to pay homage to some of the greatest painters of the past 200 years? 

So, will we see you at the cafe? 😍

#worldartday2022 #artreels #artstudio #greatartists",23,"04/15/2022 07:04",https://www.instagram.com/reel/CcYAR1Bj3ji/,"IG reel",,Lifetime,1678,1565,2,87,2,16,3527,4
17937145360933661,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","From one of our beloved customers who is an avid cat lover. ❤️😻

Love a petite painting but want it in a bigger size? DM us and we’ll help you 😊

#jeanpierreweillpaintings #glasspainting #artstudio #artwork #catlover #catlovers",33,"04/12/2022 11:04",https://www.instagram.com/reel/CcQtEtwD7YQ/,"IG reel",,Lifetime,1491,1412,1,57,0,10,2570,1
17930564222052782,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","~ Ballerinas ~

The art of dance is bigger than any just one. It’s a work of art that comes together to create a masterpiece. Each dancer bringing their own unique voice and movement to create unity and grace.

They create something together that is special and wonderful.

We, as a family studio feel the same way about art. Each personal touch, every detail, brushstroke, and everything that goes into assembling the paintings. This, is a work of art. This is a work of art that we create together, for you.

#jeanpierreweillpaintings #artstudio #artwork #glasspainting #ballerinas",14,"04/11/2022 11:04",https://www.instagram.com/reel/CcOF5ekDUf3/,"IG reel",,Lifetime,1726,1621,5,127,2,31,4312,1
17966251480595415,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Now you know who really runs this studio! 🐶 

Check out our website for gorgeous 3D glass art pieces featuring your favorite furry friends and pets. ❤️",0,"04/07/2022 09:04",https://www.instagram.com/p/CcDoee9rc6d/,"IG image",,Lifetime,159,155,1,22,0,0,,
17904392447461926,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","To wake up in a beautiful space.

When we start our day with a sense of beauty, we are more curious, more eager to engage, more open to possibilities. 

If you live with someone you love, this is an opportunity to show them you care about the space you share. 

This piece of Audrey is particularly special. Audrey Hepburn, voted most beautiful woman in the world, had an inner grace that shone outward. 

“For beautiful eyes, look for the good in others; for beautiful lips, speak only words of kindness; and for poise, walk with the knowledge that you are never alone.” 
~ Audrey

Tag someone that would love this piece 💕

#audreyhepburn #artwork #wallart #3dart #painting #audreyhepburnart #jeanpierreweillpaintings",0,"04/05/2022 08:04",https://www.instagram.com/p/Cb-V9GbL7R0/,"IG image",,Lifetime,979,825,0,147,0,2,,
