id,message,promotion_status,status_type,created_time,properties,post_clicks,post_clicks_by_type,post_impressions,post_impressions_unique,post_impressions_paid,post_impressions_paid_unique,post_impressions_fan,post_impressions_fan_unique,post_impressions_organic,post_impressions_organic_unique,post_impressions_viral,post_impressions_viral_unique,post_impressions_nonviral,post_impressions_nonviral_unique,post_video_avg_time_watched,post_video_complete_views_organic,post_video_complete_views_organic_unique,post_video_complete_views_paid,post_video_complete_views_paid_unique,post_video_retention_graph,post_video_retention_graph_clicked_to_play,post_video_retention_graph_autoplayed,post_video_views_organic,post_video_views_organic_unique,post_video_views_paid,post_video_views,post_video_social_actions_count_unique,post_activity_by_action_type_unique,post_reactions_like_total,post_reactions_love_total,post_reactions_wow_total,post_reactions_haha_total,post_reactions_sorry_total,post_reactions_anger_total,like,share,comment
124319427612935_939720294823676,"Visiting Jerusalem? Come experience the magic of art at our studio! ✨ 

Whether you’re an art enthusiast or just curious, we welcome you to immerse yourself in the world of color and paintings. 

Drop us a DM to arrange your visit! 🎨",inactive,added_photos,2024-03-19T18:16:21+0000,,298,"{'other clicks': 70, 'photo view': 228}",2888,2726,0,0,2680,2559,2888,2726,38,32,2850,2689,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 9, 'like': 81, 'comment': 7}",60,23,0,0,0,0,83,13,7
124319427612935_936091225186583,"Last chance! 🚨 Don’t miss out on owning the piece ‘Where’s Pablo’ by Jean Pierre Weill. We’re down to our last 3 pieces and once they’re gone, they’re gone for good!

But fret not, we’re excited to introduce ‘Cafe Picasso’, the stunning successor to ‘Where’s Pablo’.

To celebrate the end of this edition, we’re offering an exclusive 50% off on ‘Where’s Pablo’ for our beloved SM followers! 🌟 This is your opportunity to bring home a masterpiece at an incredible price.

Hurry, grab your piece of art history before it’s too late! DM us to claim yours today. 🖼️✨",inactive,added_photos,2024-03-14T16:44:56+0000,,46,"{'other clicks': 13, 'photo view': 33}",1384,1337,0,0,1233,1198,1384,1337,33,32,1351,1311,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 3, 'like': 21}",14,7,0,0,0,0,21,4,0
124319427612935_931414785654227,"Step into the sacred space of community with ‘10th Man’ 🎨✨ Feel the power of unity as you become the missing piece in this captivating 3D painting by Jean Pierre Weill. Let your presence bring forth the divine, and immerse yourself in the beauty of collective prayer.",inactive,added_photos,2024-03-07T21:57:58+0000,,46,"{'other clicks': 18, 'photo view': 28}",2092,2025,0,0,1938,1877,2092,2025,13,13,2079,2014,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 4, 'like': 59, 'comment': 2}",46,16,0,0,0,0,62,5,2
124319427612935_925734112888961,"I have always loved music. In my studio, Miles Davis or John Coltrane are often playing in the background. The element of jazz that delights me most is the spontaneity, the way the musicians communicate with each other through their instruments, making space for one another, building an invisible and intricate web of connection.

I believe that when we choose a piece of artwork, it is because something beacons our eyes and hearts and, without thinking too much about it, we fall in love.

The beauty of improvisation, to me, is perfectly embodied by a street musician playing the music that comes to him and the passerby who is moved to spontaneous dance. This interaction captures the magic of responding to the present moment and the opportunities it offers with our hearts.

When my children were small and visiting my studio, we would sometimes crank up the volume, clear the tables to the side of the room, and dance. I continue this tradition with my grandchildren and it never fails to delight us all. My hope is that this painting brings that fun free energy into your home, and invites you to dance 🙂

- Jean Pierre Weill",inactive,added_photos,2024-02-28T16:48:16+0000,,52,"{'other clicks': 9, 'photo view': 43}",2000,1967,0,0,1437,1440,2000,1967,9,7,1991,1964,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 4, 'like': 35}",27,8,1,0,0,0,36,5,0
124319427612935_921040143358358,"🎨✨ Exclusive Instagram offer alert! ✨🎨 

We’re eager to offer you a rare opportunity to own a piece from our collection that’s no longer in production. 😮 

‘Tambourine Man’ - a captivating masterpiece by Jean Pierre Weill is a stunning painting . It measures 122 x 94 cm and is truly one-of-a-kind.  Normally priced at $22,000, we’re offering it exclusively on Instagram for just $8,000! 😱 

Don’t miss out on this incredible deal - it’s our last piece available! DM us now to claim this piece for your collection. 📩",inactive,added_photos,2024-02-21T19:17:25+0000,,67,"{'other clicks': 29, 'photo view': 38}",2690,2690,0,0,2275,2298,2690,2690,7,7,2683,2707,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 3, 'like': 75, 'comment': 3}",53,23,0,0,0,0,76,3,3
124319427612935_916117487183957,Look closely at our art and you’ll see love everywhere 💕  Happy Valentine’s day from our heart to yours!,inactive,added_photos,2024-02-14T17:53:14+0000,,32,"{'other clicks': 16, 'photo view': 16}",1924,1892,0,0,1167,1117,1924,1892,0,0,1924,1892,,0,0,0,0,{},{},{},0,0,0,0,0,"{'like': 49, 'comment': 2}",35,14,0,0,0,0,49,0,2
124319427612935_905729008222805,"Did you catch yesterday’s Q&A session on our stories? 🤔💬 Check out our Q&A highlight to see them all.

If you have more questions, run to our stories and ask them before the option is gone!",inactive,added_photos,2024-01-31T17:14:00+0000,,39,"{'other clicks': 18, 'photo view': 21}",1340,1331,0,0,1013,993,1340,1331,0,0,1340,1331,,0,0,0,0,{},{},{},0,0,0,0,0,"{'like': 25, 'comment': 3}",14,11,0,0,0,0,25,0,6
124319427612935_900225552106484,"This Valentine’s Day, gift your loved one the timeless beauty of art. Discover unique pieces at jeanpierreweill.com with worldwide shipping! 💕🎨✨",inactive,added_photos,2024-01-24T18:11:42+0000,,71,"{'other clicks': 16, 'photo view': 51, 'link clicks': 4}",1314,1249,0,0,990,932,1314,1249,19,19,1295,1227,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 1, 'like': 25}",14,11,0,0,0,0,25,1,0
124319427612935_894826482646391,"Dive into the enchanting details of Cafe d’artistes, where magic resides in every sip of coffee, every shared dance step, and every whispered idea.

Inspired by Van Gogh’s starlit nights and the love-filled dance of Renoir’s Bougival. ✨☕💃",inactive,added_photos,2024-01-17T18:21:54+0000,,109,"{'other clicks': 29, 'photo view': 80}",1724,1686,0,0,1238,1221,1724,1686,83,81,1641,1612,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 3, 'like': 58, 'comment': 3}",35,24,0,0,0,0,59,3,3
124319427612935_889904966471876,"🎉 Giveaway! 🎨

To show our gratitude for your love and support, we’re thrilled to host a Classique Collection giveaway starting January 10th and concluding January 21st.

How to Enter:
1. Follow @JeanPierreWeillpaintings
2. Like this post.
3. Tag a friend in the comments!

BONUS ENTRY: 
Share this post in your stories and tag us!

🌍 We Ship Worldwide,* so this include you! This giveaway is an expression of our gratitude to this incredible community. We appreciate every one of you! 

⏰ Giveaway Deadline: January 21st, 7 PM EST. The winner will be announced on January 23rd. Join our family studio!

🍀 Good luck to everyone! 🍀

*Note: This giveaway is not associated with Instagram.
**Exclusions apply to countries not serviced by UPS.",inactive,added_photos,2024-01-10T19:05:19+0000,,34,"{'other clicks': 26, 'photo view': 8}",923,826,0,0,503,456,923,826,127,117,796,714,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 3, 'like': 25, 'comment': 18}",21,4,0,0,0,0,25,3,33
124319427612935_885742943554745,Meet our littlest Picasso-in-training! 👧🖌️ Our adorable helper is busy bringing her own creativity to brighten up our family studio. ☀️,inactive,added_photos,2024-01-04T18:40:28+0000,,87,"{'other clicks': 25, 'photo view': 62}",1662,1610,0,0,1024,1000,1662,1610,5,5,1657,1604,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 1, 'like': 39, 'comment': 3}",21,19,0,0,0,0,40,1,3
124319427612935_855913363204370,"Gratitude is powerful in every circumstance… and we have much to be grateful for. ❤️

When life feels fragile and precious, whether due to a personal struggle or a national tragedy, gratitude is an anchor. 🫂

As we head into winter, Thanksgiving is an opportunity to connect to what is important and appreciate the relationships that make life rich. 🙏💕

From our family to yours, Happy Thanksgiving! 🫶",inactive,added_photos,2023-11-22T19:26:28+0000,,20,"{'other clicks': 10, 'photo view': 10}",971,943,0,0,675,651,971,943,0,0,971,943,,0,0,0,0,{},{},{},0,0,0,0,0,"{'like': 25, 'comment': 4}",19,6,0,0,0,0,25,0,4
124319427612935_854633586665681,"We’d like to share with you a project that we’ve been part of over these past few weeks. It’s a website #LetMyChildrenGo and it’s dedicated to the child hostages who were kidnapped and are being held by Hamas.

The site is based on the understanding that art is an expression of life. It is about creativity and openness to possibilities. It is about children who belong at home, with their parents, surrounded by people who love and nurture them. We invite you to create art and share it on the site - to give these children their childhood back.",inactive,added_photos,2023-11-20T23:09:45+0000,,11,"{'other clicks': 3, 'photo view': 8}",530,489,0,0,259,232,530,489,49,44,481,448,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 2, 'like': 7}",6,1,0,0,0,0,7,2,0
124319427612935_842825604513146,"Thank you for your messages of support. Thank you for checking in with us to see if we’re safe. Thank you for checking in with us to see if we’re okay. ❤️

We’re truly touched by the outpouring of positivity and unity in response to the ongoing war. Your comments mean the world to us! Thank you, thank you, thank you. 🫂❤️",inactive,added_photos,2023-11-02T19:20:52+0000,,20,"{'other clicks': 7, 'photo view': 13}",702,672,0,0,476,450,702,672,17,17,685,653,,0,0,0,0,{},{},{},0,0,0,0,0,{'like': 11},5,6,0,0,0,0,11,2,0
124319427612935_837297925065914,"Black November is coming right up. It’s one of our biggest sale events of the year! 🎨

We pour our hearts into every creation, and we need your support to keep sharing our passion with the world. 🌎🛒

🖼️ Mini Masterpieces - 10% Off 
🖼️ Petite Beauties - 20% Off 
🖼️ Classique Collections - 20% Off 

🗓️ Starting Nov 1st until Nov 30th

Visit our website at jeanpierreweill.com and start shopping for your loved ones ❤️",inactive,added_photos,2023-10-25T15:26:09+0000,,57,"{'other clicks': 12, 'photo view': 36, 'link clicks': 9}",1077,1031,0,0,735,685,1077,1031,99,92,978,934,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 2, 'like': 12}",7,5,0,0,0,0,12,2,0
124319427612935_826146996181007,Thank you for all of your prayers. 💙 🇮🇱 All orders are on pause.,inactive,added_photos,2023-10-10T14:45:15+0000,,103,"{'other clicks': 92, 'photo view': 11}",1258,1207,0,0,951,907,1258,1207,22,20,1236,1198,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 1, 'like': 110, 'comment': 18}",91,20,0,0,1,0,112,1,19
124319427612935_821806163281757,"🔥 What's in it for you?

✨ Sneak Peek: Be the first to lay eyes on mesmerizing new artworks, igniting your passion for beauty.

💰 Exclusive Offers: Unlock secret doors to jaw-dropping deals and sales available only to our cherished subscribers.

📖 Art Stories: Dive deep into the captivating narratives behind each masterpiece, connecting with the heart and soul of artistry.

📆 Minimal Intrusion: With just 2 emails per month, we respect your time while ensuring you're always in the art loop!

Don't wait! Subscribe now and let art enrich your life. 🎨✨",inactive,added_photos,2023-10-04T14:11:55+0000,,3,"{'other clicks': 2, 'photo view': 1}",576,543,0,0,387,360,576,543,0,0,576,543,,0,0,0,0,{},{},{},0,0,0,0,0,{'like': 5},5,0,0,0,0,0,5,0,0
124319427612935_817907597004947,"Hey there, welcome to our family art studio! We've been on this colorful adventure since '92, when I was searching for a way to make art and support my growing family. That's when I stumbled upon the magic of 3D paintings, and the rest is history!

About 10 years ago, we packed our brushes and moved to Israel, where my amazing daughters, Davida and Safira, hopped on board. They brought their own flair and creativity to the mix, making our studio even more vibrant.

We're not just a studio; we're a creative family, and now you're part of it too! Your love and feedback make our paints flow even smoother. So, here's to staying playful, keeping it real, and always giving our best. Thanks for joining our artistic journey! 🌟🖌️",inactive,added_photos,2023-09-28T19:00:53+0000,,102,"{'other clicks': 78, 'photo view': 24}",2673,2518,0,0,1727,1599,2673,2518,121,118,2552,2366,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 4, 'like': 118, 'comment': 18}",77,45,0,0,0,0,120,4,28
124319427612935_811855190943521,"Can you spot the personalization? 🔎👀

You did it!

Tiny details, big love. ✍️ Add your personal touch with up to 10 characters on your Petite Collection piece - because it's the little things that matter most!

*Personalize with up to 10 characters for free with any Petite Collection purchase.
**Just $10 for Mini Collection pieces.",inactive,added_photos,2023-09-20T18:42:31+0000,,48,"{'other clicks': 30, 'photo view': 18}",1122,1046,0,0,841,792,1122,1046,38,36,1084,1018,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 3, 'like': 34, 'comment': 1}",22,12,0,0,0,0,34,3,3
124319427612935_807557594706614,"Embracing the serenity of autumn in Venice 🍁 The sounds of water are a symphony to the soul, filling every corner of this enchanting city with tranquility. In this painting, as figures glide along the canal, their hearts are at peace, feeling loved by the world itself.",inactive,added_photos,2023-09-14T17:59:26+0000,,13,{'photo view': 13},836,804,0,0,510,470,836,804,0,0,836,804,,0,0,0,0,{},{},{},0,0,0,0,0,{'like': 6},5,2,0,0,0,0,7,0,0
124319427612935_802148045247569,"As Rosh Hashana approaches, we're diving into the symbolism of pomegranates! 🤗✨ May your merits multiply like the seeds of this sweet fruit. 🎨 

Explore our 'Sweet Year' Mini piece, featuring art that captures the spirit of the holiday. Enjoy 10% off this week! 🍎🍯🎉",inactive,added_photos,2023-09-06T19:02:44+0000,,12,"{'other clicks': 5, 'photo view': 7}",727,664,0,0,527,468,727,664,0,0,727,664,,0,0,0,0,{},{},{},0,0,0,0,0,{'like': 12},8,4,0,0,0,0,12,0,0
124319427612935_797324912396549,"Embrace the serenity of the shore on National Beach Day 🏖️🎨 

Our 'Child on Beach' 3D glass painting captures the essence of slowing down, sharing moments with friends (or teddy bears!), and soaking in the sky and sea. 

Art available on jeanpierreweill.com",inactive,added_photos,2023-08-30T15:14:28+0000,,44,"{'other clicks': 25, 'photo view': 15, 'link clicks': 4}",1067,985,0,0,830,754,1067,985,11,11,1056,972,,0,0,0,0,{},{},{},0,0,0,0,0,"{'like': 15, 'comment': 1}",9,6,0,0,0,0,15,1,1
124319427612935_783335337128840,"Evolve 📖 

Evolve is Jean-Pierre Weill’s second book. It is an illustrated narrative from the book of Genesis told through 100 paintings about what it means to be personally free. These illustrations are just some of the beautifully painted pages you can find in the book! 

Available now on jeanpierreweill.com with 30% OFF. 🛒",inactive,added_photos,2023-08-09T16:21:25+0000,,77,"{'other clicks': 22, 'photo view': 46, 'link clicks': 9}",1268,1203,0,0,1004,940,1268,1203,0,0,1268,1203,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 1, 'like': 29, 'comment': 2}",16,13,0,0,0,0,29,1,3
124319427612935_778854630910244,"In  the  quiet   stillness  of  dawn,  five cranes  raise  their   heads  in dance.  These elegant  creatures,  said  to  live  for  a  thousand years,  are  symbols  of  happiness,  eternal  youth,  and  good  fortune.  Their  joy  in  simply being  alive  is  apparent in  their  graceful  movement   through  beams  of  color  and  sunlight. 💫",inactive,added_photos,2023-08-02T23:01:39+0000,,12,"{'other clicks': 7, 'photo view': 5}",974,881,0,0,747,662,974,881,4,4,970,876,,0,0,0,0,{},{},{},0,0,0,0,0,{'like': 14},6,8,0,0,0,0,14,1,0
124319427612935_774769364652104,"- Jerusalem Prayer -

This colorful and fantastical depiction of Jerusalem touches on the simple sacredness of prayer. Letters float in the air around the Heavenly Temple we build through acts of kindness. 

According to Jewish tradition, when Jacob dreamed of a ladder that stretched up to the Heavens, he was sleeping on the site of the future Holy Temple. 

This painting serves as a reminder of the power within each of us to connect. 

Today we want to commemorate Tisha b'Av, a solemn Jewish day of mourning and fasting that commemorates the destruction of the First and Second Temples in Jerusalem.",inactive,added_photos,2023-07-27T14:30:10+0000,,32,"{'other clicks': 19, 'photo view': 13}",1377,1330,0,0,1028,987,1377,1330,118,98,1259,1221,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 2, 'like': 49, 'comment': 2}",31,19,0,0,0,0,49,2,2
124319427612935_765257868936587,"Limitless -

Looking to the horizon,  propelled forward by cycling and favorable winds the sense of camaraderie is tangible. These two are off on great adventures! 🚲

Visit our website jeanpierreweill.com 🛒",inactive,added_photos,2023-07-12T18:53:25+0000,,17,"{'other clicks': 2, 'photo view': 9, 'link clicks': 6}",862,800,0,0,668,616,862,800,1,1,861,798,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 4, 'like': 14, 'comment': 1}",7,7,0,0,0,0,14,4,1
124319427612935_761163769345997,"Amidst the warmth of summer, we raise our glasses to celebrate life's exquisite moments. 🍷🤩

Two glasses of burgundy wine stand ready for the toast of some joyous occasion. Dark red grapes and blue skies through the window suggest a rich summer moment. L’chaim! To life! 🥂",inactive,added_photos,2023-07-06T18:38:15+0000,,9,"{'other clicks': 3, 'photo view': 6}",765,721,0,0,564,531,765,721,0,0,765,721,,0,0,0,0,{},{},{},0,0,0,0,0,"{'like': 20, 'comment': 1}",12,8,0,0,0,0,20,0,1
124319427612935_756153986513642,"Sun, water and sand. Build a castle! Build a moat! With beloved companions near, on a day such as this we have all the time in the world. ☀️⛱️🎨

Visit our website: jeanpierreweill.com",inactive,added_photos,2023-06-29T20:26:58+0000,,39,"{'other clicks': 20, 'photo view': 10, 'link clicks': 9}",900,870,0,0,686,662,900,870,0,0,900,870,,0,0,0,0,{},{},{},0,0,0,0,0,"{'like': 26, 'comment': 3}",14,14,0,0,0,0,28,0,3
124319427612935_751811756947865,"We have some exciting news! 🎨

It's 30 OFF% on our entire Petite Collection, but make it 4X LARGER! 🤩

How does it work?
Browse our Petite Collection.
Note the title of your absolutely favorite painting.
Go to the 4X larger page and type in the name of the painitng. Your 30% OFF will be automatically applied.
Check out and we'll send it your way!

Do not hesitate to contact us if you may have any questions. We are here to help you!",inactive,added_photos,2023-06-23T14:15:48+0000,,30,"{'other clicks': 12, 'photo view': 18}",681,630,0,0,463,425,681,630,70,61,611,573,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 1, 'like': 8}",8,0,0,0,0,0,8,1,0
124319427612935_748570547271986,"🌟 Happy Father's Day to the creative and loving patriarch of our family art studio! 🎨🖌️ 

The project you started and which we joined has taught us invaluable life lessons. It has taught us the importance of perseverance, of embracing our mistakes as stepping stones toward growth, and of cherishing the beauty of relationship in every fleeting moment.

Thank you for being an incredible dad!

#fathersday",inactive,added_photos,2023-06-18T15:11:33+0000,,16,"{'other clicks': 5, 'photo view': 11}",1128,1103,0,0,921,910,1128,1103,0,0,1128,1103,,0,0,0,0,{},{},{},0,0,0,0,0,{'like': 38},29,9,0,0,0,0,38,0,0
124319427612935_740439088085132,"Embrace the vibrant colors of summer with this masterpiece! 🎨

In this captivating glass painting, Pablo Picasso's iconic characters come to life, filling the bustling café scene with their unique personalities. As your gaze explores the artwork, you'll discover Picasso's self-portrait, tucked away in a quiet corner, observing the lively ambiance. 

Let the warm hues and lively strokes transport you to a sun-kissed summer day, where art and joy intertwine. 🌼✨",inactive,added_photos,2023-06-07T20:05:24+0000,,72,"{'other clicks': 39, 'photo view': 32, 'link clicks': 1}",1810,1810,0,0,1277,1262,1810,1810,27,27,1783,1796,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 1, 'like': 88, 'comment': 8}",56,33,1,0,0,0,89,1,8
124319427612935_735539661908408,Bringing a touch of London's enchantment to your summer dreams. Step into the nostalgic carousel of vibrant colors and joyful memories. 🎠✨,inactive,added_photos,2023-05-31T20:49:24+0000,,125,"{'other clicks': 73, 'photo view': 52}",1916,1818,0,0,1363,1347,1916,1818,257,177,1659,1632,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 7, 'like': 82, 'comment': 11}",47,29,7,0,0,0,83,7,16
124319427612935_730366375759070,"Wishing you all a meaningful and inspiring Shavuot filled with love, joy, and the blossoming of new beginnings! 🌸",inactive,added_photos,2023-05-24T16:14:16+0000,,17,"{'other clicks': 7, 'photo view': 10}",872,825,0,0,686,661,872,825,19,19,853,810,,0,0,0,0,{},{},{},0,0,0,0,0,"{'like': 24, 'comment': 1}",18,6,0,0,0,0,24,1,1
